Makespan,Total_time
6,0.07
10,0.06
6,0.07
12,0.07
10,0.09
16,0.07
12,0.11
10,0.09
20,0.14
20,0.17
22,0.36
20,0.19
18,0.21
20,0.34
16,0.21
30,2.27
28,0.29
26,0.35
34,92.23
32,15.88
34,91.46
32,16.64
30,12.84
34,15.84
34,19.53
34,2.48
,
,
20,0.18
22,0.32
20,0.19
18,0.19
20,0.32
16,0.21
30,1.82
28,0.25
26,0.32
,
6,0.06
10,0.05
6,0.05
12,0.06
10,0.07
16,0.07
12,0.07
10,0.07
20,0.13
